fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
43420,US,,,cbsa,,iso1:us#cbsa:43420,,125922,,other,,,,,,,0.74,4,4,4,4,4,,1,39527,346,,,,133,66,0,,20,14,0,,0,,109753,90203,2024-07-21,,0.872,0.716,0,,4,43472,0.345,,,,2105,1874,7,243,119,1,0.005,,4,15,,,0,19574,0.155
43460,US,,,cbsa,,iso1:us#cbsa:43460,,38280,,other,,,,,,,,4,4,4,4,4,,4,14020,0,,,,,,,,,,,,0,,19619,17168,2024-07-21,,0.513,0.448,0,,4,6140,0.16,,,,666,529,3,61,34,1,,,,4,,,,2429,0.063
43500,US,,,cbsa,,iso1:us#cbsa:43500,,26998,,other,,,,,,,0.26,4,4,4,4,4,,0,10031,0,,,,28,12,1,,4,1,0,,0,,18816,17141,2024-07-21,,0.697,0.635,0,,4,,,,,,28,12,1,4,1,0,,,5,5,,,,,
43580,US,,,cbsa,,iso1:us#cbsa:43580,,144701,,other,,,,,,,,4,4,4,4,4,,4,47470,96,,,,,,,,,,,,0,,,86588,2024-07-21,,,0.598,0,,4,38200,0.264,,,,2678,1691,8,305,139,5,,,,20,,,,18784,0.13
43620,US,,,cbsa,,iso1:us#cbsa:43620,,268232,,other,,,,,,,,4,4,4,4,4,,4,87377,293,,,,888,711,45,,,,,,0,,247648,188541,2024-07-21,,0.923,0.703,0,,4,87614,0.327,,,,3887,3008,25,536,264,4,,,152,56,,,,55213,0.206
43660,US,,,cbsa,,iso1:us#cbsa:43660,,16703,,other,,,,,,,,4,4,4,4,4,,4,6108,0,,,,15,11,0,,4,4,1,,0,,8951,7855,2024-07-21,,0.536,0.47,0,,4,2903,0.174,,,,15,11,0,4,4,1,,,4,4,,,,634,0.038
43700,US,,,cbsa,,iso1:us#cbsa:43700,,64979,,other,,,,,,,0.85,4,4,4,4,4,,2,21869,23,,,,295,130,1,,40,34,1,,0,,35348,31132,2024-07-21,,0.544,0.479,0,,4,14585,0.224,,,,316,143,1,40,34,1,0.003,,5,5,7.7,,0,5781,0.089
43740,US,,,cbsa,,iso1:us#cbsa:43740,,73447,,other,,,,,,,0.3,4,4,4,4,4,,0,22477,229,,,,134,55,0,,14,4,0,,0,,41064,37006,2024-07-21,,0.559,0.504,0,,4,19052,0.259,,,,874,641,1,85,56,0,0.004,,4,4,5.4,,0,,
43760,US,,,cbsa,,iso1:us#cbsa:43760,,54478,,other,,,,,,,0.81,4,4,4,4,4,,2,18032,117,,,,69,54,1,,5,4,0,,0,,31245,28812,2024-07-21,,0.574,0.529,0,90542,4,17805,0.327,,,,895,633,6,87,59,1,,,8,24,,,,,
43780,US,,,cbsa,,iso1:us#cbsa:43780,,323613,,other,,,,,,,,4,4,4,4,4,,4,98724,584,,,,693,469,14,,65,46,,,0,,215420,191630,2024-07-21,,0.666,0.592,0,,4,101121,0.312,,,,1104,683,1,77,42,3,,,18,11,,,,42599,0.132
43900,US,,,cbsa,,iso1:us#cbsa:43900,,319785,,other,,,,,,,0.79,4,4,4,4,4,,1,118248,1381,,,,666,610,4,,89,70,1,,0,,166741,145520,2024-07-21,,0.521,0.455,0,,4,65243,0.204,,,,733,650,5,102,79,0,0.007,,8,8,2.5,,0,26676,0.083
43940,US,,,cbsa,,iso1:us#cbsa:43940,,25844,,other,,,,,,,0.26,4,4,4,4,4,,0,7884,0,,,,46,22,1,,3,1,0,,0,,19920,16105,2024-07-21,,0.771,0.623,0,,4,6189,0.239,,,,148,57,0,10,7,0,,,4,4,,,,3835,0.148
43980,US,,,cbsa,,iso1:us#cbsa:43980,,16016,,other,,,,,,,0.35,4,4,4,4,4,,0,4876,0,,,,49,15,1,,5,1,0,,0,,9322,8618,2024-07-21,,0.582,0.538,0,,4,4921,0.307,,,,110,34,0,7,2,0,,,4,4,,,,2440,0.152
44020,US,,,cbsa,,iso1:us#cbsa:44020,,17258,,other,,,,,,,0.33,4,4,4,4,4,,0,4754,0,,,,36,13,0,,2,0,0,,0,,11598,10647,2024-07-21,,0.672,0.617,0,,4,6231,0.361,,,,110,34,0,7,2,0,,,8,4,,,,3490,0.202
44060,US,,,cbsa,,iso1:us#cbsa:44060,,568521,,other,,,,,,,0.93,4,4,4,4,4,,3,167027,1375,,,,1162,1020,7,,84,78,2,,0,,395182,356008,2024-07-21,,0.695,0.626,0,,4,190197,0.335,,,,2532,2135,17,168,156,1,0.007,,53,16,,,0,102494,0.18
44100,US,,,cbsa,,iso1:us#cbsa:44100,,206868,,other,,,,,,,,4,4,4,4,4,,4,82473,138,,,,,,,,,,,,0,,149185,138194,2024-07-21,,0.721,0.668,0,,4,80983,0.391,,,,1064,860,4,104,70,2,,,,8,,,,37996,0.184
44140,US,,,cbsa,,iso1:us#cbsa:44140,,697382,,other,,,,,,,0.68,4,4,4,4,4,,0,226895,1856,,,,1518,1267,20,,100,67,5,,0,,622251,496265,2024-07-21,,0.892,0.712,0,,4,281299,0.403,,,,4794,4039,47,368,289,5,0.013,,35,27,,,0,182560,0.262
44180,US,,,cbsa,,iso1:us#cbsa:44180,,470300,,other,,,,,,,,4,4,4,4,4,,4,136624,896,,,,,,,,,,,,0,,263241,229772,2024-07-21,,0.56,0.489,0,,4,111210,0.236,,,,6457,5827,55,745,665,11,,,,45,,,,53338,0.113
44220,US,,,cbsa,,iso1:us#cbsa:44220,,134083,,other,,,,,,,0.6,4,4,4,4,4,,0,44077,324,,,,258,189,2,,29,17,1,,0,,78432,72962,2024-07-21,,0.585,0.544,0,,4,39252,0.293,,,,275,199,2,29,17,1,0.01,,4,4,3.5,,0,17641,0.132
44260,US,,,cbsa,,iso1:us#cbsa:44260,,59276,,other,,,,,,,,4,4,4,4,4,,4,17955,0,,,,103,38,4,,,,,,0,,34731,30941,2024-07-21,,0.586,0.522,0,,4,13370,0.226,,,,264,97,1,12,6,4,,,9,18,,,,4097,0.069
